Date,Open,High,Close,Change,Change_Value_Percentage,Change_Percentage,Volume
2004-06-08T00:00:00,97.25,98.85,98.25,1,1.0282776349614395,1.0282776349614395,4157400
2004-06-09T00:00:00,98.25,99.5,98.25,0,0,0,3028200
2004-06-10T00:00:00,98.25,98,97,-1.25,-1.2722646310432568,-1.2722646310432568,1186800
2004-06-11T00:00:00,97,98.15,97.65,0.65,0.6701030927835052,0.6701030927835052,1002900
2004-06-14T00:00:00,97.65,95,94.1,-3.55,-3.6354326676907323,-3.6354326676907323,1138800
2004-06-15T00:00:00,94.1,95.7,95.4,1.3,1.3815090329436768,1.3815090329436768,1061400
2004-06-16T00:00:00,95.4,95.5,94.6,-0.8,-0.8385744234800839,-0.8385744234800839,415200
2004-06-17T00:00:00,94.6,95.45,94.1,-0.5,-0.5285412262156448,-0.5285412262156448,1112200
2004-06-18T00:00:00,94.1,95.15,94.85,0.75,0.7970244420828906,0.7970244420828906,1409900
2004-06-21T00:00:00,94.85,95.25,92.6,-2.25,-2.3721665788086455,-2.3721665788086455,623100
2004-06-22T00:00:00,92.6,93.5,92.4,-0.2,-0.21598272138228944,-0.21598272138228944,839600
2004-06-23T00:00:00,92.4,93.25,92.7,0.3,0.3246753246753247,0.3246753246753247,608100
2004-06-24T00:00:00,92.7,96.5,96,3.3,3.559870550161812,3.559870550161812,2806700
2004-06-25T00:00:00,96,96.6,95.05,-0.95,-0.9895833333333333,-0.9895833333333333,2005700
2004-06-28T00:00:00,95.05,97,96.6,1.55,1.6307206733298263,1.6307206733298263,1513500
2004-06-29T00:00:00,96.6,98.25,97.5,0.9,0.9316770186335404,0.9316770186335404,3687400
2004-06-30T00:00:00,97.5,98.65,97.5,0,0,0,3128300
2004-07-01T00:00:00,97.5,98.75,98.7,1.2,1.2307692307692308,1.2307692307692308,2528300
2004-07-02T00:00:00,98.7,99.75,98.3,-0.4,-0.4052684903748734,-0.4052684903748734,1408800
2004-07-05T00:00:00,98.3,99.05,98,-0.3,-0.3051881993896236,-0.3051881993896236,939900
2004-07-06T00:00:00,98,98.55,97.1,-0.9,-0.9183673469387756,-0.9183673469387756,537700
2004-07-07T00:00:00,97.1,98.55,98.2,1.1,1.132852729145211,1.132852729145211,1052500
2004-07-08T00:00:00,98.2,100.1,98.6,0.4,0.4073319755600815,0.4073319755600815,2395000
2004-07-09T00:00:00,98.6,99.25,98.25,-0.35,-0.35496957403651114,-0.35496957403651114,525600
2004-07-12T00:00:00,98.25,99.5,99,0.75,0.7633587786259541,0.7633587786259541,758500
2004-07-13T00:00:00,99,101.2,99.75,0.75,0.7575757575757576,0.7575757575757576,5710300
2004-07-14T00:00:00,99.75,101.1,99.9,0.15,0.15037593984962405,0.15037593984962405,2643300
2004-07-15T00:00:00,99.9,100.85,99.8,-0.1,-0.10010010010010012,-0.10010010010010012,1246200
2004-07-16T00:00:00,99.8,100.3,98.8,-1,-1.002004008016032,-1.002004008016032,976900
2004-07-19T00:00:00,98.8,99.2,98.2,-0.6,-0.6072874493927125,-0.6072874493927125,408200
2004-07-20T00:00:00,98.2,98.35,97,-1.2,-1.2219959266802443,-1.2219959266802443,648000
2004-07-21T00:00:00,97,97.75,95.85,-1.15,-1.1855670103092784,-1.1855670103092784,4178200
2004-07-22T00:00:00,95.85,96,94.8,-1.05,-1.0954616588419406,-1.0954616588419406,977200
2004-07-23T00:00:00,94.8,97,95.8,1,1.0548523206751055,1.0548523206751055,2220900
2004-07-26T00:00:00,95.8,96.45,95.05,-0.75,-0.7828810020876826,-0.7828810020876826,704000
2004-07-27T00:00:00,95.05,95.5,93.85,-1.2,-1.2624934245134138,-1.2624934245134138,1390300
2004-07-28T00:00:00,93.85,94,92.75,-1.1,-1.1720831113478958,-1.1720831113478958,2885700
2004-07-29T00:00:00,92.75,92.7,92.5,-0.25,-0.2695417789757413,-0.2695417789757413,1445100
2004-07-30T00:00:00,92.5,94.95,94.9,2.4,2.5945945945945943,2.5945945945945943,4109200
2004-08-02T00:00:00,94.9,94.75,93.75,-1.15,-1.2118018967334034,-1.2118018967334034,677800
2004-08-03T00:00:00,93.75,93.95,93.7,-0.05,-0.05333333333333334,-0.05333333333333334,891700
2004-08-04T00:00:00,93.7,94.6,93.75,0.05,0.05336179295624333,0.05336179295624333,756400
2004-08-05T00:00:00,93.75,93.9,93,-0.75,-0.8,-0.8,622200
2004-08-06T00:00:00,93,94.2,93.95,0.95,1.021505376344086,1.021505376344086,1095200
2004-08-09T00:00:00,93.95,95.4,94.6,0.65,0.6918573709419905,0.6918573709419905,1789000
2004-08-10T00:00:00,94.6,95,94.35,-0.25,-0.2642706131078224,-0.2642706131078224,498200
2004-08-11T00:00:00,94.35,95,94.7,0.35,0.3709591944886062,0.3709591944886062,289200
2004-08-12T00:00:00,94.7,95.6,95.1,0.4,0.4223864836325238,0.4223864836325238,724700
2004-08-13T00:00:00,95.1,95.7,95.05,-0.05,-0.05257623554153523,-0.05257623554153523,582800
2004-08-16T00:00:00,95.05,95.05,94.85,-0.2,-0.21041557075223571,-0.21041557075223571,209500
2004-08-17T00:00:00,94.85,96.4,95.6,0.75,0.790722192936215,0.790722192936215,649700
2004-08-18T00:00:00,95.6,96.25,96.1,0.5,0.5230125523012553,0.5230125523012553,611700
2004-08-19T00:00:00,96.1,96.3,95.1,-1,-1.040582726326743,-1.040582726326743,504500
2004-08-20T00:00:00,95.1,95.85,95.5,0.4,0.42060988433228186,0.42060988433228186,162800
2004-08-23T00:00:00,95.5,95.65,95.25,-0.25,-0.2617801047120419,-0.2617801047120419,176600
2004-08-24T00:00:00,95.25,95.7,94.75,-0.5,-0.5249343832020997,-0.5249343832020997,433900
2004-08-25T00:00:00,94.75,95.25,94.1,-0.65,-0.6860158311345647,-0.6860158311345647,1615200
2004-08-26T00:00:00,94.1,94.8,94.75,0.65,0.6907545164718385,0.6907545164718385,400700
2004-08-27T00:00:00,94.75,95.6,95.45,0.7,0.7387862796833773,0.7387862796833773,922200
2004-08-30T00:00:00,95.45,96,94.5,-0.95,-0.9952854897852278,-0.9952854897852278,544300
2004-08-31T00:00:00,94.5,95.4,94.9,0.4,0.4232804232804233,0.4232804232804233,1055300
2004-09-01T00:00:00,94.9,95.7,95.2,0.3,0.3161222339304531,0.3161222339304531,339100
2004-09-02T00:00:00,95.2,96.2,96.2,1,1.0504201680672267,1.0504201680672267,341900
2004-09-03T00:00:00,96.2,96.25,95.75,-0.45,-0.4677754677754678,-0.4677754677754678,64900
2004-09-06T00:00:00,95.75,95,94.5,-1.25,-1.3054830287206265,-1.3054830287206265,86700
2004-09-07T00:00:00,94.5,95.5,95.5,1,1.0582010582010581,1.0582010582010581,160200
2004-09-08T00:00:00,93,94,92.9,-2.6,-2.722513089005236,-2.722513089005236,460300
2004-09-09T00:00:00,92.9,93.5,91.85,-1.05,-1.1302475780409045,-1.1302475780409045,147600
2004-09-10T00:00:00,91.85,92.2,91.7,-0.15,-0.16330974414806748,-0.16330974414806748,124800
2004-09-13T00:00:00,91.7,91.75,91,-0.7,-0.7633587786259541,-0.7633587786259541,81600
2004-09-14T00:00:00,91,91.25,91.15,0.15,0.16483516483516483,0.16483516483516483,221400
2004-09-15T00:00:00,91.15,91.4,90,-1.15,-1.2616566099835433,-1.2616566099835433,126500
2004-09-16T00:00:00,90,91.2,91,1,1.1111111111111112,1.1111111111111112,114400
